Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2018-01-02,39.776197170923396,40.27643833122178,39.56581317441808,40.267086029052734,102223600
2018-01-03,40.33019497342311,40.80238628352514,40.19695500765061,40.260066986083984,118071600
2018-01-04,40.33250956536368,40.54990585246517,40.22498313390522,40.447052001953125,89738400
2018-01-05,40.54291247080879,40.99406285723671,40.45174716352319,40.90757369995117,94640000
2018-01-08,40.75562286376953,41.05015603918301,40.65744157177521,40.75562286376953,82271200
2018-01-09,40.80236916156911,40.92158419321893,40.5358857749913,40.75094223022461,86336000
2018-01-10,40.47746023211193,40.74394370972359,40.44005816620148,40.74160385131836,95839600
2018-01-11,40.81172918317203,41.02211311511454,40.7883555686387,40.9730224609375,74670800
2018-01-12,41.18339796582762,41.459233692882485,41.05950676616482,41.3961181640625,101672400
2018-01-16,41.58547252280897,41.933772604993706,41.17406046145214,41.18574905395508,118263600
2018-01-17,41.176394373281866,41.90104426428869,40.923939337469655,41.86598205566406,137547200
2018-01-18,41.929106274533616,42.09975191795537,41.66729886206849,41.90339279174805,124773600
2018-01-19,41.75143564894141,41.97818075507873,41.47092730566695,41.716373443603516,129700400
2018-01-22,41.44521953992409,41.55742217931307,41.28158994771982,41.375091552734375,108434400
2018-01-23,41.44522445106315,41.94546558756909,41.333021798378475,41.38444519042969,130756400
2018-01-24,41.433527740131495,41.44521633156787,40.48680890350173,40.725242614746094,204420400
2018-01-25,40.79302318853761,40.89587706717088,39.86266926547092,39.99824905395508,166116000
2018-01-26,40.206305044653156,40.206305044653156,39.75281475426623,40.09176254272461,156572000
2018-01-29,39.776194571434615,39.776194571434615,39.053884434411934,39.26192855834961,202561600
2018-01-30,38.6938794975192,39.123992450453756,38.499860340445615,39.03049087524414,184192800
2018-01-31,39.00711592226718,39.37411693794769,38.92062678192371,39.13801956176758,129915600
2018-02-01,39.07726776102113,39.41621565609654,38.98142626396581,39.2198600769043,188923200
2018-02-02,38.80375196035035,38.99075870726561,37.424583889707215,37.51808547973633,346375200
2018-02-05,37.19083407744985,38.30819507475602,36.46618412011472,36.580726623535156,290954000
2018-02-06,36.19268567354218,38.270790367350905,35.99866645876102,38.1094970703125,272975200
2018-02-07,38.123518306819236,38.19598257725575,37.183815515739305,37.293678283691406,206434400
2018-02-08,37.469004314043325,37.63497378025573,36.23944061622308,36.26749038696289,217562000
2018-02-09,36.865999961496776,37.058460813619604,35.26292594672998,36.711090087890625,282690400
2018-02-12,37.20162894435836,38.466718895803275,36.96926416827277,38.189762115478516,243278000
2018-02-13,38.01137241019179,38.668562658760024,37.94095852973828,38.572330474853516,130196800
2018-02-14,38.26721850010876,39.32341630642415,38.22966752219258,39.28351593017578,162579600
2018-02-15,39.85151185604618,40.626057565112156,39.6660920548011,40.60258865356445,204588800
2018-02-16,40.45471012448488,41.032099647351984,40.31623176094722,40.47113800048828,160704400
2018-02-20,40.381974838360435,40.900683456488785,40.23410595795056,40.33503341674805,135722000
2018-02-21,40.56505183441155,40.86782706998189,40.13787662950637,40.15196228027344,149886400
2018-02-22,40.3232788393338,40.827905159769244,40.30215574641867,40.48757553100586,123967600
2018-02-23,40.76219058627438,41.226916584183606,40.73167706139258,41.19171142578125,135249600
2018-02-26,41.39122004619365,42.10473876856565,41.358360702033096,42.006160736083984,152648800
2018-02-27,42.036664084160634,42.360562232054455,41.81603557762197,41.870018005371094,155712400
2018-02-28,42.074233534488116,42.393440189851454,41.79023562856521,41.806663513183594,151128400
2018-03-01,41.90523004911441,42.19627249006448,40.52513412020834,41.07435607910156,195208000
2018-03-02,40.55799620973738,41.37948338697755,40.47584605945342,41.358360290527344,153816000
2018-03-05,41.12364170727491,41.71745917963857,40.96169083637588,41.50152587890625,113605600
2018-03-06,41.75737398689694,41.83717475100933,41.33958930254335,41.466331481933594,95154000
2018-03-07,41.06026728930069,41.273854765458225,40.9030116386987,41.081390380859375,126814000
2018-03-08,41.18701077288144,41.571935973323356,41.09078215882034,41.52968978881836,95096400
2018-03-09,41.76910835419292,42.24791649869535,41.63532156620826,42.243221282958984,128740800
2018-03-12,42.31597330142616,42.80886700334209,42.29719960470139,42.651611328125,128828400
2018-03-13,42.85580825010609,43.06939575890961,42.069529876916704,42.240867614746094,126774000
2018-03-14,42.323009003680866,42.369950398408875,41.73388321843804,41.881752014160156,117473600
2018-03-15,41.89584418772932,42.30424194138419,41.79492034377192,41.93104934692383,90975200
2018-03-16,41.93103398858175,42.04134822218535,41.68928243359474,41.78316879272461,157618800
2018-03-19,41.618891880252036,41.65409704324905,40.75985008912387,41.144775390625,133787200
2018-03-20,41.13069152832031,41.49683953309172,41.06027762400275,41.13069152832031,78597600
2018-03-21,41.08374718435731,41.09548343216158,40.196541287634304,40.198890686035156,148219600
2018-03-22,39.900805674877645,40.529828421739076,39.57221223717389,39.630889892578125,165963200
2018-03-23,39.522916102330775,39.88202301847782,38.713165283203125,38.713165283203125,164115200
2018-03-26,39.44782118743007,40.62841548606614,39.065241676811105,40.550960540771484,150164800
2018-03-27,40.76453853670361,41.10956343270425,39.17789604359712,39.51118469238281,163690400
2018-03-28,39.25535128853273,39.90550071027378,38.77184798320467,39.074623107910156,166674000
2018-03-29,39.38680177663657,40.311562502557834,39.1732141812789,39.3797607421875,153594000
2018-04-02,39.11217992291302,39.65201509761951,38.60285827668735,39.12156677246094,150347200
2018-04-03,39.3468933425305,39.607422308079656,38.69909323586246,39.522926330566406,121112000
2018-04-04,38.699077845714115,40.37256168443263,38.673259541147125,40.27867889404297,138422000
2018-04-05,40.50635441106232,40.893625455435775,40.388999115021946,40.55799102783203,107732800
2018-04-06,40.12849163427692,40.48290352819245,39.47834194438559,39.520591735839844,140021200
2018-04-09,39.87263625048639,40.62605524022441,39.865595219285055,39.91253662109375,116070800
2018-04-10,40.60492709601596,40.83963765726461,40.25990228446854,40.663604736328125,113634400
2018-04-11,40.42421992295011,40.82088155017214,40.29982354749478,40.4735107421875,89726400
2018-04-12,40.70116364800726,41.074352620855194,40.61431829568591,40.872501373291016,91557200
2018-04-13,41.02272639139374,41.27151910294791,40.80444720984534,41.010990142822266,100497200
2018-04-16,41.08139562250636,41.35366077533175,41.03445421925359,41.26681900024414,86313600
2018-04-17,41.42408000955185,41.999120331657075,41.40530272955087,41.83482360839844,106421600
2018-04-18,41.733895247128224,41.97095526813903,41.515616087100334,41.740936279296875,83018000
2018-04-19,40.78331119064587,41.16589060178529,40.5251316881967,40.55799102783203,139235200
2018-04-20,40.04162123421735,40.18714062906674,38.828164539945334,38.89623260498047,261964400
2018-04-23,39.15677362538438,39.17789672189711,38.513665229708735,38.78358459472656,146062000
2018-04-24,38.88451443668804,39.03942433112402,37.840052720688725,38.24375534057617,134768000
2018-04-25,38.1686259386444,38.825816150909446,38.11933873202867,38.410377502441406,113528400
2018-04-26,38.52070551465223,38.89858975322706,38.34467255099439,38.5441780090332,111852000
2018-04-27,38.49253285734537,38.56998777396035,37.70155939528785,38.09822082519531,142623200
2018-04-30,38.05364233495592,39.25770564498742,37.98557423460327,38.78828430175781,169709600
2018-05-01,39.058187912431194,39.71302884534446,38.790617998357064,39.68955993652344,214277600
2018-05-02,41.12834466848057,41.71981648729503,40.79271017052406,41.4428596496582,266157600
2018-05-03,41.280895582468375,41.66112555415438,40.942911793681255,41.51795196533203,136272800
2018-05-04,41.83716129232139,43.24542478603207,41.81838401597067,43.146846771240234,224805200
2018-05-07,43.463710341007975,44.04814106669595,43.36278649476054,43.45901870727539,169805600
2018-05-08,43.41911884558,43.70781190513855,43.109299108375836,43.667911529541016,113611200
2018-05-09,43.78526872136192,43.98477060792433,43.47310315384662,43.97538375854492,92844800
2018-05-10,44.064576659526814,44.681863204805836,44.04344998015062,44.604408264160156,111957200
2018-05-11,44.64680582169134,44.78110485766906,44.16614793610695,44.434749603271484,104848800
2018-05-14,44.53372248173257,44.656243653269094,44.26276586287573,44.331092834472656,83115200
2018-05-15,44.008296792998124,44.076627354090526,43.612464172969005,43.92818832397461,94780800
2018-05-16,43.841012012369504,44.404133352868826,43.82451718880194,44.338157653808594,76732400
2018-05-17,44.295744112587485,44.510155226195536,43.9093345737116,44.05777359008789,69176000
2018-05-18,44.104899251623095,44.25097982122303,43.85514720867744,43.89755630493164,73190800
2018-05-21,44.29574521897252,44.59497812152537,44.038925005819245,44.20856857299805,73603200
2018-05-22,44.385290823685054,44.50309868458647,44.008304230716284,44.09783935546875,60962800
2018-05-23,43.90698323730388,44.41355550927262,43.767967254278695,44.38056945800781,80233600
2018-05-24,44.47717701426208,44.49366824387088,43.874001393175,44.331092834472656,92936000
2018-05-25,44.3499366417125,44.68451046232307,44.21327912142766,44.432403564453125,69844000
2018-05-29,44.20150444915725,44.472461051919346,44.02950240859062,44.272186279296875,90056400
2018-05-30,44.2297722871285,44.29574438476563,44.00829298997112,44.17793655395508,74762000
2018-05-31,44.11196979829037,44.349940351070494,43.8575044214986,44.029502868652344,109931200
2018-06-01,44.293393009412675,44.82823801484715,44.23684395189632,44.82352828979492,93770000
2018-06-04,45.15339070780669,45.57278634857579,45.08506373956886,45.198158264160156,105064800
2018-06-05,45.49032571725215,45.69531022935619,45.32303698544506,45.546871185302734,86264000
2018-06-06,45.62226003673747,45.72828636153599,45.21935568825165,45.7047233581543,83734400
2018-06-07,45.74243130384017,45.756567670436446,45.318322329900795,45.58221435546875,85388800
2018-06-08,45.04264261096891,45.23820402855917,44.71278214467778,45.167518615722656,106627200
2018-06-11,45.08506190990398,45.231142481373176,44.81646017789385,45.056785583496094,73234000
